Labogene Datalogger;;;Date: 7/10-2020;;Time: 09:15
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
;;Graf 1;Graf 2;Graf 3;Graf 4;Graf 5;Graf 6;Graf 7;Graf 8;Graf 9;Graf 10;Graf 11;Graf 12;Graf 13;Graf 14;Graf 15;Dig 1;Dig 2;Dig 3;Dig 4;Dig 5;Dig 6;Dig 7;Dig 8;Dig 9;Dig 10;Dig 11;Dig 12;Dig 13;Dig 14;Dig 15;Dig 16
LOG nr;Time;Shelf1;Shelf2;Shelf3;Shelf4;Shelf5;Shelf6;Shelf7;Shelf8;Ice condensor;Product;Actual pressure;Time;-;AutoStep;Configuration;Pressostat1;Pressostat2;Release valve;Vacuum pump;Cool only;Pressostat1 lock;Pressostat2 lock;Wait for low temperature;Manual MODE;Auto MODE;De-ice MODE;Release MODE;Pressure regulation;Vacuum valve;Compressor2;Compressor1
386;17:43-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,4;-22,0;102;276;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
387;17:44-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-22,0;113;277;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
388;17:45-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,5;-22,0;110;278;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
389;17:45-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-22,0;106;279;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
390;17:46-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-22,0;101;279;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
391;17:47-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,4;-22,0;114;280;1802;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
392;17:48-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;110;281;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
393;17:48-6/10;23,2;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;105;282;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
394;17:49-6/10;23,2;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;101;282;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
395;17:50-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;113;283;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
396;17:51-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;108;284;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
397;17:51-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;103;285;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
398;17:52-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;105;285;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
399;17:53-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;111;286;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
400;17:54-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;106;287;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
401;17:54-6/10;22,9;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,4;-23,0;102;288;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
402;17:55-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,4;-23,0;114;288;1801;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
403;17:56-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,3;-23,0;109;289;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
404;17:57-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,5;-23,0;103;290;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
405;17:57-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,4;-23,0;108;291;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
406;17:58-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,4;-23,0;111;291;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
407;17:59-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,4;-23,0;105;292;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
408;18:00-6/10;23,1;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,5;-23,0;100;293;1780;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
409;18:00-6/10;23,2;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,4;-23,0;112;294;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
410;18:01-6/10;23,1;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,4;-23,0;106;294;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
411;18:02-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;102;295;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
412;18:03-6/10;23,0;83,0;23,1;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;114;296;1802;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
413;18:03-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;109;297;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
414;18:04-6/10;23,0;83,0;23,1;83,0;23,1;83,0;83,0;83,0;-97,4;-23,0;103;297;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
415;18:05-6/10;22,8;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,5;-23,0;106;298;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
416;18:06-6/10;22,8;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;110;299;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
417;18:06-6/10;22,9;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;105;300;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
418;18:07-6/10;22,9;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;106;300;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
419;18:08-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;110;301;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
420;18:09-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;103;302;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
421;18:09-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;100;303;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
422;18:10-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,5;-23,0;110;303;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
423;18:11-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,6;-23,0;103;304;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
424;18:12-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,6;-23,0;99;305;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
425;18:12-6/10;23,2;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-23,0;110;306;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
426;18:13-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,6;-23,0;104;306;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
427;18:14-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,7;-23,0;109;307;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
428;18:15-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,7;-23,0;110;308;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
429;18:15-6/10;23,0;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,6;-23,0;103;309;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
430;18:16-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,8;-23,0;108;310;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
431;18:17-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-23,0;108;310;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
432;18:18-6/10;22,8;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,8;-23,0;103;311;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
433;18:19-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-23,0;109;312;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
434;18:19-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-23,0;106;313;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
435;18:20-6/10;23,0;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-24,0;102;313;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
436;18:21-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-24,0;112;314;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
437;18:22-6/10;23,1;83,0;22,9;83,0;23,1;83,0;83,0;83,0;-98,0;-24,0;106;315;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
438;18:22-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-25,0;100;316;1780;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
439;18:23-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-25,0;111;316;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
440;18:24-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;105;317;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
441;18:25-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-25,0;107;318;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
442;18:25-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;109;319;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
443;18:26-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-25,0;102;319;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
444;18:27-6/10;22,9;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;112;320;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
445;18:28-6/10;22,9;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,1;-25,0;105;321;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
446;18:28-6/10;22,9;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,9;-26,0;99;322;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
447;18:29-6/10;22,8;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-25,0;109;322;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
448;18:30-6/10;22,9;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;102;323;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
449;18:31-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;112;324;1798;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
450;18:31-6/10;23,0;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-97,8;-25,0;106;325;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
451;18:32-6/10;23,1;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,7;-25,0;99;325;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
452;18:33-6/10;23,1;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;110;326;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
453;18:34-6/10;23,1;83,0;23,1;83,0;23,1;83,0;83,0;83,0;-97,7;-25,0;103;327;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
454;18:34-6/10;23,2;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-25,0;112;328;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
455;18:35-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;104;328;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
456;18:36-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,7;-26,0;105;329;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
457;18:37-6/10;23,1;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,6;-26,0;108;330;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
458;18:37-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,5;-26,0;101;331;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
459;18:38-6/10;23,0;83,0;22,9;83,0;23,1;83,0;83,0;83,0;-97,7;-26,0;110;331;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
460;18:39-6/10;22,9;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,9;-26,0;103;332;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
461;18:40-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,5;-26,0;112;333;1798;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
462;18:40-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,6;-25,0;104;334;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
463;18:41-6/10;22,9;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-97,6;-26,0;112;334;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
464;18:42-6/10;23,0;83,0;23,0;83,0;22,8;83,0;83,0;83,0;-97,8;-26,0;105;335;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
465;18:43-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,7;-26,0;108;336;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
466;18:43-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,8;-26,0;106;337;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
467;18:44-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,7;-26,0;100;337;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
468;18:45-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,8;-26,0;109;338;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
469;18:46-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;101;339;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
470;18:46-6/10;23,1;83,0;23,1;83,0;22,9;83,0;83,0;83,0;-97,8;-26,0;111;340;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
471;18:47-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,8;-26,0;103;340;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
472;18:48-6/10;23,0;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,9;-26,0;111;341;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
473;18:49-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;103;342;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
474;18:49-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;112;343;1798;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
475;18:50-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-26,0;105;343;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
476;18:51-6/10;23,0;83,0;22,9;83,0;22,9;83,0;83,0;83,0;-98,0;-26,0;109;344;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
477;18:52-6/10;23,0;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-98,1;-26,0;105;345;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
478;18:52-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-26,0;108;346;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
479;18:53-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-26,0;106;346;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
480;18:54-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;106;347;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
481;18:55-6/10;23,0;83,0;22,9;83,0;22,9;83,0;83,0;83,0;-98,2;-26,0;106;348;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
482;18:55-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;106;349;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
483;18:56-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-97,9;-26,0;106;349;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
484;18:57-6/10;23,1;83,0;23,1;83,0;23,1;83,0;83,0;83,0;-98,2;-26,0;100;350;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
485;18:58-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;106;351;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
486;18:58-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,2;-26,0;100;352;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
487;18:59-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;106;352;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
488;19:00-6/10;23,0;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-26,0;99;353;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
489;19:01-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;106;354;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
490;19:01-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;100;355;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
491;19:02-6/10;23,0;83,0;22,9;83,0;22,8;83,0;83,0;83,0;-98,2;-26,0;106;355;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
492;19:03-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;99;356;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
493;19:04-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-26,0;106;357;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
494;19:04-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;100;358;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
495;19:05-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;106;358;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
496;19:06-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,0;-26,0;103;359;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
497;19:07-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-98,2;-26,0;105;360;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
498;19:07-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-26,0;110;361;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
499;19:08-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-25,0;104;361;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
500;19:09-6/10;23,1;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,1;-25,0;111;362;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
501;19:10-6/10;23,1;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-98,0;-25,0;103;363;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
502;19:10-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-25,0;111;364;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
503;19:11-6/10;23,0;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-98,2;-25,0;103;364;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
504;19:12-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-25,0;110;365;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
505;19:13-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-98,0;-24,0;102;366;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
506;19:13-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-24,0;110;367;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
507;19:14-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,1;-24,0;100;367;1780;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
508;19:15-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-23,0;107;368;1791;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
509;19:16-6/10;23,1;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-98,1;-23,0;105;369;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
510;19:16-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-22,0;105;370;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
511;19:17-6/10;23,0;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-97,9;-22,0;111;370;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
512;19:18-6/10;23,0;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-98,2;-22,0;103;371;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
513;19:19-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-97,9;-21,0;110;372;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
514;19:19-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-21,0;102;373;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
515;19:20-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,0;-21,0;108;373;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
516;19:21-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,2;-21,0;100;374;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
517;19:22-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,2;-21,0;105;375;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
518;19:22-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,0;-20,0;110;376;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
519;19:23-6/10;23,1;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,9;-20,0;103;376;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
520;19:24-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,2;-19,0;110;377;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
521;19:25-6/10;23,0;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-98,1;-18,0;101;378;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
522;19:25-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-18,0;106;379;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
523;19:26-6/10;23,0;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-98,0;-17,0;106;379;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
524;19:27-6/10;23,1;83,0;22,9;83,0;23,0;83,0;83,0;83,0;-98,0;-16,0;104;380;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
525;19:28-6/10;23,1;83,0;23,0;83,0;23,1;83,0;83,0;83,0;-98,1;-16,0;110;381;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
