Labogene Datalogger;;;Date: 7/10-2020;;Time: 09:15
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
;;Graf 1;Graf 2;Graf 3;Graf 4;Graf 5;Graf 6;Graf 7;Graf 8;Graf 9;Graf 10;Graf 11;Graf 12;Graf 13;Graf 14;Graf 15;Dig 1;Dig 2;Dig 3;Dig 4;Dig 5;Dig 6;Dig 7;Dig 8;Dig 9;Dig 10;Dig 11;Dig 12;Dig 13;Dig 14;Dig 15;Dig 16
LOG nr;Time;Shelf1;Shelf2;Shelf3;Shelf4;Shelf5;Shelf6;Shelf7;Shelf8;Ice condensor;Product;Actual pressure;Time;-;AutoStep;Configuration;Pressostat1;Pressostat2;Release valve;Vacuum pump;Cool only;Pressostat1 lock;Pressostat2 lock;Wait for low temperature;Manual MODE;Auto MODE;De-ice MODE;Release MODE;Pressure regulation;Vacuum valve;Compressor2;Compressor1
27;13:15-6/10;-10,9;83,0;-11,7;83,0;-11,6;83,0;83,0;83,0;-96,4;-24,0;110;8;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
28;13:16-6/10;-10,2;83,0;-10,9;83,0;-10,8;83,0;83,0;83,0;-96,1;-24,0;102;9;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
29;13:16-6/10;-9,7;83,0;-10,2;83,0;-9,9;83,0;83,0;83,0;-96,0;-24,0;110;10;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
30;13:17-6/10;-9,1;83,0;-9,6;83,0;-9,2;83,0;83,0;83,0;-96,0;-24,0;105;10;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
31;13:18-6/10;-8,6;83,0;-8,9;83,0;-8,5;83,0;83,0;83,0;-95,7;-24,0;100;11;1780;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
32;13:19-6/10;-8,1;83,0;-8,3;83,0;-7,8;83,0;83,0;83,0;-95,9;-24,0;111;12;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
33;13:19-6/10;-7,7;83,0;-7,8;83,0;-7,3;83,0;83,0;83,0;-96,0;-24,0;106;13;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
34;13:20-6/10;-7,2;83,0;-7,3;83,0;-6,6;83,0;83,0;83,0;-95,9;-24,0;102;13;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
35;13:21-6/10;-6,8;83,0;-6,7;83,0;-6,0;83,0;83,0;83,0;-96,0;-24,0;113;14;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
36;13:21-6/10;-6,3;83,0;-6,3;83,0;-5,5;83,0;83,0;83,0;-96,3;-24,0;110;15;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
37;13:22-6/10;-5,9;83,0;-5,8;83,0;-4,8;83,0;83,0;83,0;-96,4;-24,0;104;15;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
38;13:23-6/10;-5,4;83,0;-5,3;83,0;-4,3;83,0;83,0;83,0;-96,4;-24,0;100;16;1780;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
39;13:23-6/10;-5,1;83,0;-4,8;83,0;-3,8;83,0;83,0;83,0;-96,4;-23,0;112;17;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
40;13:24-6/10;-4,7;83,0;-4,3;83,0;-3,3;83,0;83,0;83,0;-96,8;-23,0;107;17;1791;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
41;13:25-6/10;-4,3;83,0;-3,8;83,0;-2,8;83,0;83,0;83,0;-96,6;-23,0;103;18;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
42;13:26-6/10;-3,8;83,0;-3,4;83,0;-2,2;83,0;83,0;83,0;-96,6;-23,0;99;19;1777;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
43;13:26-6/10;-3,5;83,0;-2,8;83,0;-1,6;83,0;83,0;83,0;-96,8;-23,0;111;20;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
44;13:27-6/10;-3,0;83,0;-2,4;83,0;-1,3;83,0;83,0;83,0;-96,9;-23,0;107;20;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
45;13:28-6/10;-2,6;83,0;-1,7;83,0;-0,7;83,0;83,0;83,0;-96,8;-22,0;103;21;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
46;13:28-6/10;-2,3;83,0;-1,2;83,0;-0,3;83,0;83,0;83,0;-96,8;-22,0;109;22;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
47;13:29-6/10;-1,7;83,0;-0,7;83,0;0,5;83,0;83,0;83,0;-97,0;-22,0;112;22;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
48;13:30-6/10;-1,3;83,0;-0,1;83,0;1,0;83,0;83,0;83,0;-96,9;-22,0;107;23;1791;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
49;13:31-6/10;-0,9;83,0;0,6;83,0;1,7;83,0;83,0;83,0;-96,9;-22,0;103;24;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
50;13:31-6/10;-0,5;83,0;1,3;83,0;2,3;83,0;83,0;83,0;-97,1;-22,0;99;25;1778;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
51;13:32-6/10;0,2;83,0;1,9;83,0;2,9;83,0;83,0;83,0;-97,1;-21,0;113;25;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
52;13:33-6/10;0,6;83,0;2,5;83,0;3,5;83,0;83,0;83,0;-97,0;-21,0;109;26;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
53;13:33-6/10;1,0;83,0;3,2;83,0;4,1;83,0;83,0;83,0;-97,1;-21,0;104;27;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
54;13:34-6/10;1,5;83,0;3,7;83,0;4,7;83,0;83,0;83,0;-97,1;-21,0;102;27;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
55;13:35-6/10;2,0;83,0;4,4;83,0;5,3;83,0;83,0;83,0;-97,1;-21,0;113;28;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
56;13:36-6/10;2,5;83,0;4,9;83,0;6,0;83,0;83,0;83,0;-97,1;-21,0;112;29;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
57;13:36-6/10;3,0;83,0;5,6;83,0;6,5;83,0;83,0;83,0;-97,1;-20,0;110;30;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
58;13:37-6/10;3,5;83,0;6,2;83,0;7,0;83,0;83,0;83,0;-97,4;-20,0;105;30;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
59;13:38-6/10;3,9;83,0;6,8;83,0;7,6;83,0;83,0;83,0;-97,2;-20,0;102;31;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
60;13:38-6/10;4,4;83,0;7,4;83,0;8,2;83,0;83,0;83,0;-97,1;-20,0;113;32;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
61;13:39-6/10;4,9;83,0;7,9;83,0;8,7;83,0;83,0;83,0;-97,3;-20,0;113;32;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
62;13:40-6/10;5,4;83,0;8,4;83,0;9,4;83,0;83,0;83,0;-97,4;-20,0;109;33;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
63;13:41-6/10;5,9;83,0;9,1;83,0;9,9;83,0;83,0;83,0;-97,3;-19,0;106;34;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
64;13:41-6/10;6,3;83,0;9,6;83,0;10,4;83,0;83,0;83,0;-97,3;-19,0;103;35;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
65;13:42-6/10;6,7;83,0;10,2;83,0;11,2;83,0;83,0;83,0;-97,3;-19,0;101;35;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
66;13:43-6/10;7,2;83,0;11,0;83,0;11,7;83,0;83,0;83,0;-97,2;-19,0;116;36;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
67;13:43-6/10;7,6;83,0;11,6;83,0;12,2;83,0;83,0;83,0;-97,2;-19,0;113;37;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
68;13:44-6/10;8,0;83,0;12,1;83,0;12,6;83,0;83,0;83,0;-97,4;-19,0;110;37;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
69;13:45-6/10;8,6;83,0;12,5;83,0;13,1;83,0;83,0;83,0;-97,3;-18,0;105;38;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
70;13:46-6/10;9,0;83,0;13,1;83,0;13,6;83,0;83,0;83,0;-97,1;-18,0;103;39;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
71;13:46-6/10;9,5;83,0;13,7;83,0;14,1;83,0;83,0;83,0;-97,3;-18,0;102;40;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
72;13:47-6/10;10,0;83,0;14,1;83,0;14,7;83,0;83,0;83,0;-97,1;-18,0;100;40;1779;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
73;13:48-6/10;10,4;83,0;14,7;83,0;14,9;83,0;83,0;83,0;-97,1;-18,0;116;41;1805;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
74;13:49-6/10;11,2;83,0;15,1;83,0;15,5;83,0;83,0;83,0;-97,2;-18,0;114;42;1802;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
75;13:49-6/10;11,7;83,0;15,7;83,0;16,0;83,0;83,0;83,0;-97,2;-18,0;112;43;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
76;13:50-6/10;12,2;83,0;16,2;83,0;16,4;83,0;83,0;83,0;-97,1;-18,0;110;43;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
77;13:51-6/10;12,7;83,0;16,6;83,0;16,9;83,0;83,0;83,0;-97,1;-18,0;106;44;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
78;13:52-6/10;13,2;83,0;17,2;83,0;17,3;83,0;83,0;83,0;-97,3;-18,0;105;45;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
79;13:52-6/10;13,8;83,0;17,6;83,0;17,7;83,0;83,0;83,0;-97,3;-18,0;104;46;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
80;13:53-6/10;14,3;83,0;18,1;83,0;18,2;83,0;83,0;83,0;-97,1;-18,0;102;46;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
81;13:54-6/10;14,8;83,0;18,6;83,0;18,7;83,0;83,0;83,0;-97,1;-17,0;102;47;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
82;13:54-6/10;15,3;83,0;19,0;83,0;19,1;83,0;83,0;83,0;-97,2;-17,0;101;48;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
83;13:55-6/10;15,8;83,0;19,5;83,0;19,5;83,0;83,0;83,0;-97,2;-17,0;102;48;1783;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
84;13:56-6/10;16,3;83,0;20,0;83,0;20,0;83,0;83,0;83,0;-97,1;-17,0;102;49;1782;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
85;13:57-6/10;16,8;83,0;20,4;83,0;20,4;83,0;83,0;83,0;-97,1;-17,0;101;50;1781;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
86;13:57-6/10;17,3;83,0;20,8;83,0;20,8;83,0;83,0;83,0;-97,3;-17,0;103;51;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
87;13:58-6/10;17,9;83,0;21,4;83,0;21,3;83,0;83,0;83,0;-97,1;-17,0;103;51;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
88;13:59-6/10;18,3;83,0;21,9;83,0;21,8;83,0;83,0;83,0;-97,1;-17,0;103;52;1784;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
89;14:00-6/10;18,8;83,0;22,3;83,0;22,2;83,0;83,0;83,0;-97,2;-17,0;103;53;1785;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
90;14:00-6/10;19,3;83,0;22,7;83,0;22,7;83,0;83,0;83,0;-97,2;-17,0;104;54;1786;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
91;14:01-6/10;19,7;83,0;23,2;83,0;23,1;83,0;83,0;83,0;-97,1;-17,0;105;54;1787;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
92;14:02-6/10;20,1;83,0;23,5;83,0;23,2;83,0;83,0;83,0;-97,2;-16,0;105;55;1788;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
93;14:03-6/10;20,6;83,0;23,8;83,0;23,8;83,0;83,0;83,0;-97,2;-16,0;106;56;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
94;14:03-6/10;21,0;83,0;23,9;83,0;23,9;83,0;83,0;83,0;-97,2;-16,0;106;57;1789;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
95;14:04-6/10;21,6;83,0;23,9;83,0;23,9;83,0;83,0;83,0;-97,1;-16,0;106;57;1790;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
96;14:05-6/10;22,1;83,0;23,9;83,0;23,9;83,0;83,0;83,0;-97,1;-16,0;108;58;1793;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
97;14:06-6/10;22,7;83,0;23,8;83,0;23,8;83,0;83,0;83,0;-97,1;-16,0;110;59;1795;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
98;14:06-6/10;23,0;83,0;23,5;83,0;23,6;83,0;83,0;83,0;-97,1;-16,0;109;60;1794;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
